filename,width,height,class,xmin,ymin,xmax,ymax
1644.jpg,320,240,0,41,104,183,208
1644.jpg,320,240,1,124,169,151,193
692.jpg,320,240,0,55,106,280,220
692.jpg,320,240,1,151,177,178,204
2301.jpg,320,240,0,0,101,235,193
2301.jpg,320,240,1,82,150,112,183
404.jpg,320,240,0,40,103,274,214
404.jpg,320,240,1,137,171,163,198
2150.jpg,320,240,0,0,105,229,213
2150.jpg,320,240,1,52,166,87,204
1404.jpg,320,240,0,54,99,279,207
1404.jpg,320,240,1,152,166,178,193
1571.jpg,320,240,0,55,103,203,196
1571.jpg,320,240,1,125,160,148,182
2096.jpg,320,240,0,13,105,319,212
2096.jpg,320,240,1,146,166,181,204
2322.jpg,320,240,0,4,103,264,193
2322.jpg,320,240,1,114,151,145,185
1299.jpg,320,240,0,47,95,279,212
1299.jpg,320,240,1,161,170,187,200
1870.jpg,320,240,0,59,103,178,187
1870.jpg,320,240,1,125,150,147,174
1480.jpg,320,240,0,40,102,254,202
1480.jpg,320,240,1,127,163,151,190
1939.jpg,320,240,0,94,102,216,195
1939.jpg,320,240,1,170,158,195,182
509.jpg,320,240,0,45,96,270,207
509.jpg,320,240,1,156,164,180,191
848.jpg,320,240,0,40,97,279,239
848.jpg,320,240,1,127,188,162,223
393.jpg,320,240,0,40,103,274,214
393.jpg,320,240,1,137,171,163,198
1594.jpg,320,240,0,50,103,187,200
1594.jpg,320,240,1,123,161,149,186
1151.jpg,320,240,0,80,95,232,171
1151.jpg,320,240,1,145,139,163,158
1121.jpg,320,240,0,61,102,279,208
1121.jpg,320,240,1,163,167,189,194
1538.jpg,320,240,0,43,99,269,206
1538.jpg,320,240,1,139,166,164,192
1421.jpg,320,240,0,72,101,279,206
1421.jpg,320,240,1,166,164,191,191
2407.jpg,320,240,0,3,101,235,184
2407.jpg,320,240,1,109,146,136,173
1490.jpg,320,240,0,50,101,261,198
1490.jpg,320,240,1,143,160,168,186
965.jpg,320,240,0,40,100,277,220
965.jpg,320,240,1,125,175,153,204
2518.jpg,320,240,0,35,85,280,168
2518.jpg,320,240,1,139,130,168,161
2025.jpg,320,240,0,2,103,313,213
2025.jpg,320,240,1,133,166,170,204
2037.jpg,320,240,0,39,101,269,178
2037.jpg,320,240,1,138,145,165,171
855.jpg,320,240,0,40,102,279,239
855.jpg,320,240,1,128,197,164,232
363.jpg,320,240,0,41,101,280,216
363.jpg,320,240,1,141,172,168,200
2075.jpg,320,240,0,66,103,319,213
2075.jpg,320,240,1,199,165,236,204
2022.jpg,320,240,0,2,104,313,213
2022.jpg,320,240,1,133,166,170,204
2389.jpg,320,240,0,39,101,288,194
2389.jpg,320,240,1,155,148,184,186
2359.jpg,320,240,0,31,101,270,182
2359.jpg,320,240,1,135,146,163,174
1668.jpg,320,240,0,46,102,176,197
1668.jpg,320,240,1,127,159,152,184
1938.jpg,320,240,0,93,102,216,195
1938.jpg,320,240,1,170,158,195,182
1430.jpg,320,240,0,74,100,279,208
1430.jpg,320,240,1,164,165,190,192
1230.jpg,320,240,0,40,97,278,214
1230.jpg,320,240,1,144,172,171,200
1450.jpg,320,240,0,67,96,250,184
1450.jpg,320,240,1,145,150,166,172
1559.jpg,320,240,0,72,104,207,196
1559.jpg,320,240,1,141,159,167,182
